em,variable,CEDS16
NH3,Emissions|NH3|AFOLU|Land,
NH3,Emissions|NH3|AFOLU|Land|Forest Burning,Forest Burning
NH3,Emissions|NH3|AFOLU|Land|Grassland Burning,Grassland Burning
NH3,Emissions|NH3|Aggregate - Fossil Fuels and Industry,
NH3,Emissions|NH3|Energy,
NH3,Emissions|NH3|Energy|Demand,
NH3,Emissions|NH3|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
NH3,Emissions|NH3|Energy|Demand|Commercial,
NH3,Emissions|NH3|Energy|Demand|Industry,Industrial Combustion
NH3,Emissions|NH3|Energy|Demand|Other Sector,
NH3,Emissions|NH3|Energy|Demand|Residential,
NH3,Emissions|NH3|Energy|Demand|Transportation,
NH3,Emissions|NH3|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
NH3,Emissions|NH3|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,Non-Road Transportation
NH3,Emissions|NH3|Energy|Demand|Transportation|Aviation,Aircraft
NH3,Emissions|NH3|Energy|Demand|Transportation|Aviation|Domestic,
NH3,Emissions|NH3|Energy|Demand|Transportation|Aviation|International,
NH3,Emissions|NH3|Energy|Demand|Transportation|Rail,
NH3,Emissions|NH3|Energy|Demand|Transportation|Road,Road Transportation
NH3,Emissions|NH3|Energy|Demand|Transportation|Shipping,
NH3,Emissions|NH3|Energy|Demand|Transportation|Shipping|Domestic,
NH3,Emissions|NH3|Energy|Demand|Transportation|Shipping|International,International shipping
NH3,Emissions|NH3|Energy|Other,
NH3,Emissions|NH3|Energy|Supply,
NH3,Emissions|NH3|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
NH3,Emissions|NH3|Energy|Supply|Electricity,
NH3,Emissions|NH3|Energy|Supply|Gases,
NH3,Emissions|NH3|Energy|Supply|Heat,
NH3,Emissions|NH3|Energy|Supply|Liquids,
NH3,Emissions|NH3|Energy|Supply|Other,
NH3,Emissions|NH3|Energy|Supply|Solids,
NH3,Emissions|NH3|Industrial Processes,Industrial Process and Product Use
NH3,Emissions|NH3|Other,
NH3,Emissions|NH3|Product Use|Solvents,Solvents Production and Application
NH3,Emissions|NH3|Waste,Waste
NOx,Emissions|NOx,
NOx,Emissions|NOx|AFOLU,
NOx,Emissions|NOx|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
NOx,Emissions|NOx|AFOLU|Agriculture,
NOx,Emissions|NOx|AFOLU|Agriculture|Livestock,
NOx,Emissions|NOx|AFOLU|Agriculture|Livestock|Enteric Fermentation,
NOx,Emissions|NOx|AFOLU|Agriculture|Rice,
NOx,Emissions|NOx|AFOLU|Biomass Burning,
NOx,Emissions|NOx|AFOLU|Land,
NOx,Emissions|NOx|AFOLU|Land|Forest Burning,Forest Burning
NOx,Emissions|NOx|AFOLU|Land|Grassland Burning,Grassland Burning
NOx,Emissions|NOx|Aggregate - Fossil Fuels and Industry,
NOx,Emissions|NOx|Energy,
NOx,Emissions|NOx|Energy|Demand,
NOx,Emissions|NOx|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
NOx,Emissions|NOx|Energy|Demand|Commercial,
NOx,Emissions|NOx|Energy|Demand|Industry,Industrial Combustion
NOx,Emissions|NOx|Energy|Demand|Other Sector,
NOx,Emissions|NOx|Energy|Demand|Residential,
NOx,Emissions|NOx|Energy|Demand|Transportation,
NOx,Emissions|NOx|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
NOx,Emissions|NOx|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,Non-Road Transportation
NOx,Emissions|NOx|Energy|Demand|Transportation|Aviation,Aircraft
NOx,Emissions|NOx|Energy|Demand|Transportation|Aviation|Domestic,
NOx,Emissions|NOx|Energy|Demand|Transportation|Aviation|International,
NOx,Emissions|NOx|Energy|Demand|Transportation|Rail,
NOx,Emissions|NOx|Energy|Demand|Transportation|Road,Road Transportation
NOx,Emissions|NOx|Energy|Demand|Transportation|Shipping,
NOx,Emissions|NOx|Energy|Demand|Transportation|Shipping|Domestic,
NOx,Emissions|NOx|Energy|Demand|Transportation|Shipping|International,International shipping
NOx,Emissions|NOx|Energy|Other,
NOx,Emissions|NOx|Energy|Supply,
NOx,Emissions|NOx|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
NOx,Emissions|NOx|Energy|Supply|Electricity,
NOx,Emissions|NOx|Energy|Supply|Gases,
NOx,Emissions|NOx|Energy|Supply|Heat,
NOx,Emissions|NOx|Energy|Supply|Liquids,
NOx,Emissions|NOx|Energy|Supply|Other,
NOx,Emissions|NOx|Energy|Supply|Solids,
NOx,Emissions|NOx|Industrial Processes,Industrial Process and Product Use
NOx,Emissions|NOx|Other,
NOx,Emissions|NOx|Product Use|Solvents,Solvents Production and Application
NOx,Emissions|NOx|Waste,Waste
OC,Emissions|OC,
OC,Emissions|OC|AFOLU,
OC,Emissions|OC|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
OC,Emissions|OC|AFOLU|Agriculture,
OC,Emissions|OC|AFOLU|Agriculture|Livestock,
OC,Emissions|OC|AFOLU|Agriculture|Livestock|Enteric Fermentation,
OC,Emissions|OC|AFOLU|Agriculture|Rice,
OC,Emissions|OC|AFOLU|Biomass Burning,
OC,Emissions|OC|AFOLU|Land,
OC,Emissions|OC|AFOLU|Land|Forest Burning,Forest Burning
OC,Emissions|OC|AFOLU|Land|Grassland Burning,Grassland Burning
OC,Emissions|OC|Aggregate - Fossil Fuels and Industry,
OC,Emissions|OC|Energy,
OC,Emissions|OC|Energy|Demand,
OC,Emissions|OC|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
OC,Emissions|OC|Energy|Demand|Commercial,
OC,Emissions|OC|Energy|Demand|Industry,Industrial Combustion
OC,Emissions|OC|Energy|Demand|Other Sector,
OC,Emissions|OC|Energy|Demand|Residential,
OC,Emissions|OC|Energy|Demand|Transportation,
OC,Emissions|OC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
OC,Emissions|OC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,Non-Road Transportation
OC,Emissions|OC|Energy|Demand|Transportation|Aviation,Aircraft
OC,Emissions|OC|Energy|Demand|Transportation|Aviation|Domestic,
OC,Emissions|OC|Energy|Demand|Transportation|Aviation|International,
OC,Emissions|OC|Energy|Demand|Transportation|Rail,
OC,Emissions|OC|Energy|Demand|Transportation|Road,Road Transportation
OC,Emissions|OC|Energy|Demand|Transportation|Shipping,
OC,Emissions|OC|Energy|Demand|Transportation|Shipping|Domestic,
OC,Emissions|OC|Energy|Demand|Transportation|Shipping|International,International shipping
OC,Emissions|OC|Energy|Other,
OC,Emissions|OC|Energy|Supply,
OC,Emissions|OC|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
OC,Emissions|OC|Energy|Supply|Electricity,
OC,Emissions|OC|Energy|Supply|Gases,
OC,Emissions|OC|Energy|Supply|Heat,
OC,Emissions|OC|Energy|Supply|Liquids,
OC,Emissions|OC|Energy|Supply|Other,
OC,Emissions|OC|Energy|Supply|Solids,
OC,Emissions|OC|Industrial Processes,Industrial Process and Product Use
OC,Emissions|OC|Other,
OC,Emissions|OC|Product Use|Solvents,Solvents Production and Application
OC,Emissions|OC|Waste,Waste
SO2,Emissions|Sulfur,
SO2,Emissions|Sulfur|AFOLU,
SO2,Emissions|Sulfur|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
SO2,Emissions|Sulfur|AFOLU|Agriculture,
SO2,Emissions|Sulfur|AFOLU|Agriculture|Livestock,
SO2,Emissions|Sulfur|AFOLU|Agriculture|Livestock|Enteric Fermentation,
SO2,Emissions|Sulfur|AFOLU|Agriculture|Rice,
SO2,Emissions|Sulfur|AFOLU|Biomass Burning,
SO2,Emissions|Sulfur|AFOLU|Land,
SO2,Emissions|Sulfur|AFOLU|Land|Forest Burning,Forest Burning
SO2,Emissions|Sulfur|AFOLU|Land|Grassland Burning,Grassland Burning
SO2,Emissions|Sulfur|Aggregate - Fossil Fuels and Industry,
SO2,Emissions|Sulfur|Energy,
SO2,Emissions|Sulfur|Energy|Demand,
SO2,Emissions|Sulfur|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
SO2,Emissions|Sulfur|Energy|Demand|Commercial,
SO2,Emissions|Sulfur|Energy|Demand|Industry,Industrial Combustion
SO2,Emissions|Sulfur|Energy|Demand|Other Sector,
SO2,Emissions|Sulfur|Energy|Demand|Residential,
SO2,Emissions|Sulfur|Energy|Demand|Transportation,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,Non-Road Transportation
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Aviation,Aircraft
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Aviation|Domestic,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Aviation|International,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Rail,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Road,Road Transportation
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Shipping,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Shipping|Domestic,
SO2,Emissions|Sulfur|Energy|Demand|Transportation|Shipping|International,International shipping
SO2,Emissions|Sulfur|Energy|Other,
SO2,Emissions|Sulfur|Energy|Supply,
SO2,Emissions|Sulfur|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
SO2,Emissions|Sulfur|Energy|Supply|Electricity,
SO2,Emissions|Sulfur|Energy|Supply|Gases,
SO2,Emissions|Sulfur|Energy|Supply|Heat,
SO2,Emissions|Sulfur|Energy|Supply|Liquids,
SO2,Emissions|Sulfur|Energy|Supply|Other,
SO2,Emissions|Sulfur|Energy|Supply|Solids,
SO2,Emissions|Sulfur|Industrial Processes,Industrial Process and Product Use
SO2,Emissions|Sulfur|Other,
SO2,Emissions|Sulfur|Product Use|Solvents,Solvents Production and Application
SO2,Emissions|Sulfur|Waste,Waste
NMVOC,Emissions|VOC,
NMVOC,Emissions|VOC|AFOLU,
NMVOC,Emissions|VOC|AFOLU|Aggregate - Agriculture and Biomass Burning,Agriculture
NMVOC,Emissions|VOC|AFOLU|Agriculture,
NMVOC,Emissions|VOC|AFOLU|Agriculture|Livestock,
NMVOC,Emissions|VOC|AFOLU|Agriculture|Livestock|Enteric Fermentation,
NMVOC,Emissions|VOC|AFOLU|Agriculture|Rice,
NMVOC,Emissions|VOC|AFOLU|Biomass Burning,
NMVOC,Emissions|VOC|AFOLU|Land,
NMVOC,Emissions|VOC|AFOLU|Land|Forest Burning,Forest Burning
NMVOC,Emissions|VOC|AFOLU|Land|Grassland Burning,Grassland Burning
NMVOC,Emissions|VOC|Aggregate - Fossil Fuels and Industry,
NMVOC,Emissions|VOC|Energy,
NMVOC,Emissions|VOC|Energy|Demand,
NMVOC,Emissions|VOC|Energy|Demand|Aggregate - Residential and Commercial,Residential Commercial Other - Residential Commercial
NMVOC,Emissions|VOC|Energy|Demand|Commercial,
NMVOC,Emissions|VOC|Energy|Demand|Industry,Industrial Combustion
NMVOC,Emissions|VOC|Energy|Demand|Other Sector,
NMVOC,Emissions|VOC|Energy|Demand|Residential,
NMVOC,Emissions|VOC|Energy|Demand|Transportation,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Aggregate - Rail and Domestic Shipping,Non-Road Transportation
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Aggregate - Road Rail and Domestic Shipping,Non-Road Transportation
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Aviation,Aircraft
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Aviation|Domestic,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Aviation|International,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Rail,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Road,Road Transportation
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Shipping,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Shipping|Domestic,
NMVOC,Emissions|VOC|Energy|Demand|Transportation|Shipping|International,International shipping
NMVOC,Emissions|VOC|Energy|Other,
NMVOC,Emissions|VOC|Energy|Supply,
NMVOC,Emissions|VOC|Energy|Supply|Aggregate - Electricity and Heat,Electricity and Heat Production
NMVOC,Emissions|VOC|Energy|Supply|Electricity,
NMVOC,Emissions|VOC|Energy|Supply|Gases,
NMVOC,Emissions|VOC|Energy|Supply|Heat,
NMVOC,Emissions|VOC|Energy|Supply|Liquids,
NMVOC,Emissions|VOC|Energy|Supply|Other,
NMVOC,Emissions|VOC|Energy|Supply|Solids,
NMVOC,Emissions|VOC|Industrial Processes,Industrial Process and Product Use
NMVOC,Emissions|VOC|Other,
NMVOC,Emissions|VOC|Product Use|Solvents,Solvents Production and Application
NMVOC,Emissions|VOC|Waste,Waste
