iso,iso_countryname,IAM_countryname,IAM_country,Regional.Definition,AIM.CGE,GCAM,IMAGE,MESSAGE.GLOBIOM,ReMIND.MAGPIE,WITCH.GLOBIOM,CEDS_final_data,CEDS_countryname
slv,El Salvador,EL SALVADOR,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,El Salvador
som,Somalia,SOMALIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Somalia
spm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Saint Pierre and Miquelon
srb,Serbia,SERBIA,1,OECD,OECD,n/a,OECD,OECD,OECD,REF,1,Serbia
srb (kosovo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Kosovo
ssd,South Sudan,SOUTH SUDAN,1,MAF,n/a,n/a,MAF,n/a,n/a,n/a,1,South Sudan
stp,Sao Tome and Principe,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Sao Tome and Principe
sur,Suriname,SURINAME,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Suriname
svk,Slovakia,SLOVAKIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Slovakia
svn,Slovenia,SLOVENIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Slovenia
swe,Sweden,SWEDEN,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Sweden
swz,Swaziland,SWAZILAND,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Swaziland
sxm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sint Maarten
syc,Seychelles,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Seychelles
syr,Syrian Arab Republic,SYRIAN ARAB REPUBLIC,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Syria
tca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Turks and Caicos Islands
tcd,Chad,CHAD,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Chad
tgo,Togo,TOGO,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Togo
tha,Thailand,THAILAND,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Thailand
tjk,Tajikistan,TAJIKISTAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Tajikistan
tkl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tokelau
tkm,Turkmenistan,TURKMENISTAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Turkmenistan
tls,Timor-Leste,EAST TIMOR,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Timor-Leste
ton,Tonga,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Tongo
tto,Trinidad and Tobago,TRINIDAD AND TOBAGO,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Trinidad and Tobago
tun,Tunisia,TUNISIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Tunisia
tur,Turkey,TURKEY,1,OECD,OECD,OECD,OECD,OECD,OECD,REF,1,Turkey
twn,Taiwan,"TAIWAN, PROVINCE OF CHINA",1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Chinese Taipei
tza,United Republic of Tanzania,"TANZANIA, UNITED REPUBLIC OF",1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Tanzania
uga,Uganda,UGANDA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Uganda
ukr,Ukraine,UKRAINE,1,REF,REF,OECD,REF,REF,OECD,REF,1,Ukraine
ury,Uruguay,URUGUAY,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Uruguay
usa,United States of America,UNITED STATES,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,United States
ussr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Soviet Union
uzb,Uzbekistan,UZBEKISTAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Uzbekistan
vct,Saint Vincent and the Grenadines,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Saint Vincent And Grenadines
ven,Venezuela (Bolivarian Republic of),VENEZUELA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Venezuela
vgb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,British Virgin Islands
vir,Virgin Islands (US),"VIRGIN ISLANDS, U.S.",1,LAM,LAM,OECD,LAM,n/a,n/a,LAM,1,United States Virgin Islands
vnm,Viet Nam,VIET NAM,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Vietnam
vut,Vanuatu,VANUATU,1,ASIA,ASIA,ASIA,ASIA,ASIA,n/a,ASIA,1,Vanuatu
wlf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Wallis and Futuna Islands
wsm,Samoa,SAMOA,1,ASIA,ASIA,ASIA,ASIA,ASIA,n/a,ASIA,1,Samoa
yem,Yemen,YEMEN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Yemen
yug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Yugoslavia
zaf,South Africa,SOUTH AFRICA,1,MAF,MAF,MAF,MAF,MAF,OECD,OECD,1,South Africa
zmb,Zambia,ZAMBIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Zambia
zwe,Zimbabwe,ZIMBABWE,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Zimbabwe
