iso,country_name,region,region_name
mus,Mauritius,EAF,E. Africa
mwi,Malawi,RSAF,Rest S. Africa
mys,Malaysia,SEAS,SE. Asia
nam,Namibia,RSAF,Rest S. Africa
ncl,New Caledonia,OCE,Oceania
ner,Niger,WAF,W. Africa
nga,Nigeria,WAF,W. Africa
nic,Nicaragua,RCAM,Rest C. America
niu,Niue,OCE,Oceania
nld,Netherlands,WEU,W. Europe
nor,Norway,WEU,W. Europe
npl,Nepal,RSAS,Rest S. Asia
nzl,New Zealand,OCE,Oceania
omn,Oman,ME,Middle East
pak,Pakistan,RSAS,Rest S. Asia
pan,Panama,RCAM,Rest C. America
per,Peru,RSAM,Rest S. America
phl,Philippines,SEAS,SE. Asia
plw,Palau,OCE,Oceania
png,Papua New Guinea,INDO,Indonesia
pol,Poland,CEU,C. Europe
pri,Puerto Rico,RCAM,Rest C. America
prk,"Korea, Democratic Peoples Republic of",KOR,Korea
prt,Portugal,WEU,W. Europe
pry,Paraguay,RSAM,Rest S. America
pse,"Palestinian Territory, Occupied",ME,Middle East
pyf,French Polynesia,OCE,Oceania
qat,Qatar,ME,Middle East
reu,Reunion,EAF,E. Africa
rou,Romania,CEU,C. Europe
rus,Russian Federation,RUS,Russia
rwa,Rwanda,EAF,E. Africa
sau,Saudi Arabia,ME,Middle East
sdn,Sudan,EAF,E. Africa
sen,Senegal,WAF,W. Africa
sgp,Singapore,SEAS,SE. Asia
slb,Solomon Islands,OCE,Oceania
sle,Sierra Leone,WAF,W. Africa
slv,El Salvador,RCAM,Rest C. America
som,Somalia,EAF,E. Africa
spm,Saint Pierre and Miquelon,USA,USA
srb,Serbia,CEU,C. Europe
stp,Sao Tome and Principe,WAF,W. Africa
sur,Suriname,RSAM,Rest S. America
svk,Slovakia,CEU,C. Europe
svn,Slovenia,CEU,C. Europe
swe,Sweden,WEU,W. Europe
swz,Swaziland,RSAF,Rest S. Africa
sxm,Sint Maarten,RCAM,Rest C. America
syc,Seychelles,EAF,E. Africa
syr,Syrian Arab Republic,ME,Middle East
tca,Turks and Caicos,RCAM,Rest C. America
tcd,Chad,WAF,W. Africa
tgo,Togo,WAF,W. Africa
tha,Thailand,SEAS,SE. Asia
tjk,Tajikistan,STAN,Kazakhstan region
tkl,Tokelau,OCE,Oceania
tkm,Turkmenistan,STAN,Kazakhstan region
tls,Timor Leste,SEAS,SE. Asia
ton,Tonga,OCE,Oceania
tto,Trinidad and Tobago,RCAM,Rest C. America
tun,Tunisia,NAF,N. Africa
tur,Turkey,TUR,Turkey
twn,Taiwan,CHN,China
tza,"Tanzania, United Republic of",RSAF,Rest S. Africa
uga,Uganda,EAF,E. Africa
ukr,Ukraine,UKR,Ukraine region
ury,Uruguay,RSAM,Rest S. America
usa,United States of America,USA,USA
uzb,Uzbekistan,STAN,Kazakhstan region
vct,Saint Vincent and the Grenadines,RCAM,Rest C. America
ven,Venezuela,RSAM,Rest S. America
vgb,"Virgin Islands, British",RCAM,Rest C. America
vir,"Virgin Islands, U.S.",RCAM,Rest C. America
vnm,Viet Nam,SEAS,SE. Asia
vut,Vanuatu,OCE,Oceania
wlf,Wallis and Futuna,OCE,Oceania
wsm,Samoa,OCE,Oceania
yem,Yemen,ME,Middle East
zaf,South Africa,SAF,South Africa
zmb,Zambia,RSAF,Rest S. Africa
zwe,Zimbabwe,RSAF,Rest S. Africa
srb (kosovo),Kosovo,CEU,C. Europe
ssd,South Sudan,EAF,E. Africa
