"em","sector","year","proxy","proxy_backup"
"BC","Forest Burning",2083,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2084,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2085,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2086,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2087,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2088,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2089,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2090,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2091,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2092,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2093,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2094,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2095,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2096,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2097,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2098,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2099,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2100,"BC_2015_FRTB","population_2015"
"BC","Grassland Burning",2015,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2016,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2017,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2018,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2019,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2020,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2021,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2022,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2023,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2024,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2025,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2026,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2027,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2028,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2029,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2030,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2031,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2032,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2033,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2034,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2035,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2036,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2037,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2038,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2039,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2040,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2041,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2042,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2043,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2044,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2045,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2046,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2047,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2048,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2049,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2050,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2051,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2052,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2053,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2054,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2055,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2056,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2057,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2058,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2059,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2060,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2061,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2062,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2063,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2064,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2065,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2066,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2067,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2068,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2069,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2070,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2071,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2072,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2073,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2074,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2075,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2076,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2077,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2078,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2079,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2080,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2081,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2082,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2083,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2084,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2085,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2086,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2087,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2088,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2089,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2090,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2091,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2092,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2093,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2094,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2095,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2096,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2097,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2098,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2099,"BC_2015_GRSB","population_2015"
"BC","Grassland Burning",2100,"BC_2015_GRSB","population_2015"
"BC","Peat Burning",2015,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2016,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2017,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2018,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2019,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2020,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2021,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2022,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2023,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2024,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2025,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2026,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2027,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2028,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2029,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2030,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2031,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2032,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2033,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2034,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2035,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2036,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2037,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2038,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2039,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2040,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2041,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2042,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2043,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2044,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2045,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2046,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2047,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2048,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2049,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2050,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2051,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2052,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2053,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2054,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2055,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2056,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2057,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2058,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2059,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2060,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2061,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2062,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2063,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2064,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2065,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2066,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2067,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2068,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2069,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2070,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2071,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2072,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2073,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2074,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2075,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2076,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2077,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2078,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2079,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2080,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2081,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2082,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2083,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2084,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2085,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2086,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2087,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2088,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2089,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2090,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2091,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2092,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2093,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2094,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2095,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2096,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2097,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2098,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2099,"BC_2015_PEAT","population_2015"
"BC","Peat Burning",2100,"BC_2015_PEAT","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2015,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2016,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2017,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2018,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2019,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2020,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2021,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2022,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2023,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2024,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2025,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2026,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2027,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2028,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2029,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2030,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2031,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2032,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2033,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2034,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2035,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2036,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2037,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2038,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2039,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2040,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2041,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2042,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2043,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2044,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2045,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2046,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2047,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2048,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2049,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2050,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2051,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2052,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2053,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2054,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2055,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2056,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2057,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2058,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2059,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2060,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2061,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2062,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2063,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2064,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2065,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2066,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2067,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2068,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2069,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2070,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2071,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2072,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2073,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2074,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2075,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2076,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2077,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2078,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2079,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2080,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2081,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2082,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2083,"BC_2015_RCORC","population_2015"
"BC","Residential Commercial Other - Residential Commercial",2084,"BC_2015_RCORC","population_2015"
